#,Currency,Method,Amount,Status,Address,TXID,Created,Updated
3696241,ETH,ETHEREUM,-79.99,COMPLETED,0xC6fb0c93231f854eF5E62Bdb141eE5e366f260e8,0x51d3659432e31d5b40d231d938278d3baa3110bf83b7b76518c6393c7751afcd,2017-09-14 10:41:38,2017-09-14 12:36:11
3686536,BTC,BITCOIN,-50.0,COMPLETED,1L7RvFH7znVqCnKnSkYYyZ8AyZLELASucg,eb4514a793dca0b0a5da6a5a509a9532d807282e1b894a5b580d20d174dfd3ea,2017-09-13 21:40:27,2017-09-13 21:51:11
3685512,BTC,BITCOIN,-0.0006,COMPLETED,1L7RvFH7znVqCnKnSkYYyZ8AyZLELASucg,3e601f6bcc371964ca2e24462e2acb4880526f512b7d563849274519bc23cd3b,2017-09-13 20:15:26,2017-09-13 20:22:06
3679633,LTC,LITECOIN,-20.0,COMPLETED,LMNbHrafcmJDKJwv7KhDDiiUnNDA7UcLtA,75c183d71461b65e210303758648113e286eed815b791e55569d778c3e4686d6,2017-09-13 14:46:50,2017-09-13 14:57:25
