#,Currency,Method,Amount,Status,Address,TXID,Created,Updated
3665423,BCH,BCASH,560.56748367,COMPLETED,1NpTmmhXkGkFBRQ9QrmsCJWoyT45cKEc1,bf087b0659091616de62b7a675fa5d340a3b49429dfe3a9c47ad2412edf3ad6a,2017-09-13 00:04:40,2017-09-13 02:44:40
3665315,BCH,BCASH,6.0,COMPLETED,1NpTmmhXkGkFBRQ9QrmsCJWoyT45cKEc1,9445534374cb10e91efb94abdc986d2cd9ff1753f6529abb9128148fc6c36e40,2017-09-12 23:54:39,2017-09-13 02:34:40
